"lnhr","lnwg","kids","age","disab"
7.82,1.98,2,36,0
7.63,1.79,0,44,0
7.62,2.64,0,35,1
8.01,1.98,2,31,0
7.73,2.56,2,41,0
7.69,2.76,1,40,0
8.35,2.45,2,53,0
7.69,2.18,0,46,0
7.67,2.79,2,36,0
7.74,2.93,0,55,0
7.64,3.01,3,31,0
7.89,2.64,3,37,0
7.56,2.71,1,50,1
7.92,3.12,3,40,0
7.74,2.96,0,59,0
7.73,2.85,1,49,0
7.61,2.85,2,45,0
7.56,2.59,3,32,0
7.71,2.69,3,41,0
7.55,3.44,0,59,0
6.95,1.87,2,46,0
7.6,3.03,2,35,0
7.82,2.33,3,39,0
7.76,2.98,0,54,0
7.28,2.08,0,58,0
7.77,2.56,1,52,0
7.28,2.47,0,52,0
7.92,3.67,4,41,0
7.77,2.53,2,42,0
7.6,2.67,0,41,0
7.6,2.57,3,31,0
7.63,2.34,1,45,0
7.54,2.69,2,31,0
7.97,3.03,2,38,0
7.54,3.36,0,48,0
8.14,3.25,0,57,0
7.55,3.22,1,36,0
7.53,2.96,1,47,0
7.68,3.54,0,56,1
7.92,3.22,1,50,0
7.61,3.07,3,39,0
7.94,2.86,0,45,0
7.62,2.76,3,40,0
8.31,2.2,2,40,0
7.77,2.83,1,38,0
7.91,2.14,1,39,0
7.8,3.2,0,55,0
7.66,2.63,4,33,0
7.36,2.67,1,39,0
7.8,3.19,3,39,0
7.81,3.05,1,40,0
7.57,2.71,0,54,0
7.59,2.33,0,58,0
7.42,2.91,3,45,0
7.68,2.84,3,41,0
7.82,3.14,0,57,0
7.71,3.36,2,35,1
7.44,2.48,0,51,0
7.7,3.03,2,34,0
7.7,2.3,2,44,0
7.54,2.67,0,47,0
7.64,2.69,1,43,0
7.72,2.19,0,53,0
7.56,3.12,1,50,0
8.01,2.12,0,51,0
7.57,3.36,0,56,0
7.54,3.36,0,60,0
7.58,1.83,1,55,1
7.61,3.14,3,37,0
7.61,2.55,0,50,0
7.56,2.08,0,57,0
7.83,2.24,3,35,0
7.67,2.68,2,42,0
7.84,2.53,0,43,0
7.58,2.21,0,57,0
7.68,3.06,2,43,0
7.58,2.97,2,39,0
7.66,2.82,2,42,0
7.4,2.67,2,43,0
7.83,2.75,0,47,0
6.03,2.08,1,33,1
7.59,1.98,1,53,0
7.62,1.75,4,38,0
7.82,2.01,3,44,0
7.57,2.54,0,50,0
7.62,2.1,0,54,0
7.91,2.08,1,40,0
7.96,2.96,2,39,0
7.57,2.77,0,52,0
8.13,2.49,1,42,0
7.87,2.64,0,54,0
7.29,3.18,2,39,0
7.57,2.53,2,41,0
7.77,3.07,0,43,0
7.57,2.71,1,40,0
7.8,2.52,2,40,0
7.59,1.87,2,39,0
7.55,1.65,3,36,0
7.37,3.03,1,46,0
7.6,2.4,2,41,0
7.6,2.45,2,37,0
7.73,3.15,0,54,0
7.62,2.55,1,53,0
7.92,3.62,0,51,0
7.62,3.36,2,39,0
7.88,2.44,2,39,0
7.86,3.36,0,55,0
7.58,2.56,2,40,0
7.58,2.76,0,54,0
7.69,3.25,1,48,0
7.59,3.36,2,46,0
7.27,2.73,2,36,0
7.57,2.76,2,51,0
7.94,2.04,2,35,1
7.73,2.23,1,36,0
7.59,2.55,3,37,0
7.7,2.77,2,44,0
7.71,2.51,0,55,0
7.93,4.37,0,50,0
7.72,2.68,1,32,0
7.82,2.42,0,44,0
7.68,2.45,2,33,0
7.83,2.53,1,34,0
7.62,2.75,0,45,0
7.59,1.81,1,41,1
7.68,2.46,0,53,0
7.64,1.69,1,51,0
7.52,2.55,0,44,0
7.92,2.52,0,57,1
8.01,2.57,2,32,0
7.59,2.71,2,44,0
7.96,2.04,4,31,0
7.8,2.48,1,45,0
7.54,2.63,1,46,0
7.57,3.04,0,52,0
7.69,2.71,1,53,0
7.65,2.3,2,31,0
7.7,2.75,3,31,0
8.08,3.24,2,39,0
7.86,2.78,0,43,0
7.62,2.18,0,48,0
7.78,2.68,2,38,1
7.56,2.76,3,45,1
7.63,2.2,2,40,0
7.61,2.4,1,39,0
7.97,3.65,0,53,0
7.52,2.7,0,55,1
7.81,3.21,1,43,0
7.4,2.1,0,55,1
7.61,3.25,0,58,0
7.59,2.98,3,32,0
7.64,3.47,2,45,1
7.45,2.01,1,47,1
7.16,2.67,0,46,1
7.64,2.67,0,55,1
7.65,1.85,2,35,0
7.63,2.63,0,50,1
7.55,3.18,2,36,0
7.73,3.4,2,39,0
7.55,2.79,1,36,0
7.72,2.29,0,38,0
7.86,3.27,3,39,0
7.84,2.6,0,41,0
7.64,3.36,1,45,0
7.42,2.67,3,48,0
7.79,2.56,3,42,0
7.54,2.3,0,53,0
7.48,3.62,0,50,0
7.9,2.34,2,38,0
7.84,1.5,2,33,1
7.92,2.67,1,33,0
7.76,2.43,3,43,0
7.8,3.59,3,40,0
7.82,3.21,0,52,1
7.66,3.15,0,59,1
7.62,2.12,1,56,1
8.05,2.85,2,45,0
7.4,1.95,1,46,0
7.62,2.66,1,40,1
7.88,2.76,2,37,0
8.25,3.3,4,34,0
8.01,2.71,0,48,0
7.49,2.88,2,39,0
7.85,2.59,0,55,0
8,2.7,1,43,1
7.7,2.6,2,37,1
7.56,3.05,2,52,1
7.56,3.04,0,42,1
7.57,2.64,3,40,0
7.74,2.58,3,39,0
7.54,3.23,0,50,0
7.56,2.53,2,36,0
7.79,2.63,1,36,0
5.96,2.25,0,55,0
7.77,2.45,3,41,0
8.53,2.19,2,41,0
7.76,2.49,2,50,0
7.45,2.48,2,41,0
7.88,2.17,2,35,0
7.63,3.01,0,55,0
7.8,3.2,1,36,0
7.48,2.67,0,59,1
8.03,2.68,2,43,0
7.54,2.68,0,51,0
7.21,2.49,2,37,0
7.46,1.5,4,33,1
7.55,2.57,3,35,0
7.5,1.39,4,44,0
7.82,2.93,2,40,0
7.99,2.91,2,35,0
7.83,2.63,2,41,0
7.5,2.3,1,39,0
7.65,2.69,0,54,0
7.82,3.14,0,39,0
7.97,2.96,2,42,0
7.82,2.2,0,56,0
7.78,3.36,3,47,0
7.72,2.45,4,40,0
7.64,3.06,0,51,0
7.59,2.34,1,42,0
7.55,1.95,2,39,0
7.55,2.97,3,39,0
8.01,2.64,1,51,0
4.79,-0.22,0,60,0
7.57,2.94,3,39,0
6.36,3,3,37,0
7.86,1.5,2,31,0
7.74,2.13,0,59,0
7.63,2.85,0,58,0
7.54,2.87,1,36,0
7.63,2.67,0,36,0
7.78,3.2,1,44,0
7.76,2.49,3,35,0
7.59,2.73,3,32,0
7.96,2.17,2,35,0
7.56,2.32,0,52,0
7.69,2.45,1,51,1
7.67,2.38,2,38,0
7.63,1.7,0,48,0
7.77,3.39,1,40,0
7.62,3.03,3,39,0
7.71,2.08,1,41,0
7.8,1.79,2,39,0
7.82,3.09,1,41,0
7.85,2.23,0,45,0
7.74,2.74,1,39,0
7.58,2.36,0,52,0
7.99,2.74,1,38,0
7.59,2.66,3,31,0
7.47,2.5,5,43,0
7.74,2.53,4,39,0
7.62,2.34,0,40,1
7.68,2.89,3,40,0
7.57,2.53,2,35,0
7.9,1.96,2,33,1
7.53,2.88,2,43,0
7.6,2.59,1,45,0
7.95,2.94,1,46,0
7.8,3.14,1,44,0
7.92,2.77,1,45,0
7.95,2.98,0,51,0
7.63,2.2,1,41,0
7.55,3.65,1,39,0
7.59,2.76,0,44,0
7.87,2.36,2,38,0
7.74,2.36,0,59,0
7.56,2.94,3,33,0
7.53,3.5,0,55,0
7.94,1.47,1,40,1
7.82,2.51,3,40,0
7.64,2.3,0,60,0
7.72,2.68,2,54,0
7.62,2.84,2,33,0
7.58,2.83,4,45,0
7.65,2.85,2,58,0
7.66,3.16,0,59,0
7.75,2.83,2,34,0
7.41,3.8,0,56,0
7.6,2.56,0,59,1
7.91,3.18,2,40,0
7.66,1.89,1,35,0
7.55,2.31,0,59,1
7.66,2.82,1,60,0
7.83,2.67,2,35,0
7.9,2.64,4,36,0
7.77,3.39,0,42,0
7.59,2.93,0,51,0
7.55,2.91,1,40,0
7.64,2.44,1,37,0
8.1,2.8,2,35,0
7.61,2.01,4,41,0
8.05,2.69,1,45,0
7.7,3.4,0,60,1
7.99,2.94,2,34,0
7.58,2.51,0,56,0
7.98,2.14,0,57,0
7.6,2.86,0,57,0
7.64,2.41,1,39,0
7.54,2.42,2,47,0
8.01,2.42,3,49,0
7.73,2.47,3,40,0
7.99,2.22,2,38,0
7.75,2.31,3,36,0
7.6,1.99,0,58,0
7.78,2.78,2,40,0
7.64,2.71,0,42,0
8.13,1.61,1,32,0
7.76,2.35,3,32,0
7.62,2.3,0,49,0
7.81,2.78,4,36,0
7.73,2.79,0,49,0
7.56,2.89,2,40,0
7.56,2.4,3,33,0
7.77,3.3,0,46,0
7.64,2.36,0,50,0
7.7,2.67,0,49,0
7.72,1.48,2,36,0
7.67,2.61,3,43,0
7.64,2.67,2,35,0
7.74,2.5,0,47,0
7.73,3.95,0,45,0
7.6,2.66,1,44,0
7.58,2.7,0,41,0
7.74,2.42,0,39,0
7.39,2.52,2,42,0
7.61,2.83,2,42,1
7.54,2.48,0,58,0
7.54,2.45,2,33,0
7.6,2.08,0,53,0
7.59,2.2,0,58,0
7.62,2.01,1,56,0
7.53,3.03,1,43,0
7.55,2.56,1,33,0
7.89,2.59,2,42,0
7.6,2.81,2,51,0
8.23,2.51,2,32,0
7.92,3.1,1,40,0
7.59,2.96,3,36,0
7.66,3.37,2,38,0
7.6,2.22,2,37,0
7.65,3.16,2,36,0
7.72,2.7,3,33,0
7.55,2.86,2,44,0
8.05,2.67,1,44,0
7.77,2.89,2,36,0
7.68,2.67,3,36,0
7.53,2.73,0,51,1
8.27,2.38,2,34,0
7.58,2.73,0,58,0
7.59,2.82,0,49,0
7.81,2.63,2,41,0
7.59,3.57,2,44,0
7.72,3.2,0,56,0
7.54,2.86,1,42,1
7.56,2.14,0,49,0
7.68,3.16,0,58,0
7.8,2.85,0,59,0
7.76,2.62,2,34,0
7.58,2.43,0,60,0
7.58,2.82,1,33,0
7.67,2.73,1,37,0
7.1,2.77,2,51,0
7.6,2.4,0,58,0
7.65,2.67,0,47,0
7.61,1.72,1,52,0
7.65,2.67,2,38,0
7.61,2.63,0,42,0
7.64,2.71,3,38,0
8,2.68,0,56,0
7.59,3.09,2,37,0
7.92,2.45,3,34,0
7.84,2.4,1,32,0
7.7,2.35,0,55,0
7.93,2.42,1,46,1
7.6,2.19,2,39,0
7.64,2.35,0,57,0
7.74,2.73,0,59,1
7.61,2.4,0,44,0
7.53,3.35,1,53,0
7.78,2.56,1,43,0
7.59,1.6,0,50,0
7.62,2.5,4,43,0
7.6,2.44,0,55,0
7.56,3.12,1,43,0
7.56,2.56,0,54,1
7.78,2.56,3,32,0
7.97,2.82,0,59,0
7.93,2.61,3,38,0
7.99,2.33,2,33,0
7.6,3.14,2,43,0
7.62,1.83,2,43,0
7.54,3.1,1,41,0
7.86,3,1,51,0
7.5,2.4,0,48,0
7.6,2.64,0,47,1
7.36,1.74,1,53,1
7.58,2.06,0,50,0
7.7,2.4,0,56,0
7.58,2.73,1,40,0
7.99,3.14,1,49,0
7.7,2.74,0,60,0
7.72,3.24,2,35,0
7.63,2.2,0,51,1
7.7,3,2,47,0
7.61,2.61,0,35,0
7.6,2.62,2,37,0
7.35,2.53,1,36,0
7.86,2.52,4,34,0
7.74,2.55,2,38,0
7.12,2.68,3,40,1
7.79,2.91,6,38,0
7.62,2.48,2,36,0
7.36,2.86,3,37,0
7.78,2.36,0,47,0
7.94,2.3,0,45,0
7.83,2.3,3,38,0
7.61,2.3,2,33,0
7.61,2.89,3,44,0
7.58,3.1,1,46,0
7.58,2.67,4,42,0
7.59,2.67,2,51,0
7.7,3.3,0,50,0
7.81,2.68,0,45,0
7.98,2.94,2,41,0
7.56,2.64,3,35,0
7.55,2.49,2,34,0
7.98,3.07,0,57,0
7.82,1.63,1,39,0
7.56,3.05,1,55,0
7.8,2.74,3,31,0
7.48,2.17,2,41,0
7.57,3.06,0,45,0
7.72,2.5,2,35,0
7.72,2.48,3,38,0
7.71,2.79,1,36,0
7.87,1.46,3,40,0
7.7,3.37,0,41,0
7.63,2.79,2,34,0
7.45,2.77,1,58,1
7.7,2.84,2,41,0
7.68,2.32,2,39,0
7.91,2.3,2,37,0
7.8,2.87,0,46,0
7.96,2.76,0,49,0
7.67,2.73,3,35,0
7.77,3.23,1,46,0
7.79,2.86,1,58,0
7.61,2.53,0,51,0
7.69,1.43,2,36,1
7.84,1.44,3,38,0
8.01,2.15,0,47,0
8.07,2.96,2,40,0
7.6,2.59,3,33,0
7.51,2.67,1,37,0
7.51,1.63,0,50,0
7.8,2.4,2,34,0
7.27,2.05,0,57,0
7.68,2.14,2,32,0
7.6,2.93,0,42,0
7.62,2.36,0,58,0
7.92,2.38,2,39,1
7.66,1.79,4,35,0
7.68,2.89,3,35,0
7.61,3.36,0,56,0
7.24,3.29,1,43,0
7.62,2.79,3,38,0
7.88,2.86,4,43,0
7.65,2.71,1,37,1
8.08,2.25,2,41,0
7.55,2.92,0,41,0
7.58,2.26,0,46,0
7.97,2.2,0,54,0
8.02,2.36,1,44,0
7.68,4.6,2,43,0
7.6,2.3,0,50,0
7.52,2.65,1,48,0
7.6,2.53,1,59,0
8.21,3.36,3,36,0
7.82,3.33,3,40,0
7.63,2.76,0,48,0
7.78,2.69,1,38,0
7.25,2.6,2,37,0
7.54,2.04,4,39,0
7.38,2.48,0,53,0
7.74,2.18,3,41,0
8.4,2.45,1,55,0
7.59,2.17,2,35,0
7.63,2.42,1,37,0
8.05,2.23,5,33,0
7.2,2.01,3,34,0
7.68,2.24,3,39,0
7.53,2.7,0,48,0
7.68,2.64,3,36,0
7.62,2.92,3,43,0
7.9,3.12,2,41,0
7.42,2.69,2,41,0
7.59,1.4,1,36,0
7.86,1.92,1,45,0
7.79,2.51,0,47,1
7.64,1.86,2,34,0
7.67,2.17,1,40,0
7.5,3.07,2,34,0
7.7,3.31,3,40,0
8.14,2.04,3,37,0
7.66,2.71,2,31,0
7.62,1.72,4,35,0
7.78,2.62,0,58,0
7.53,2.76,1,33,0
7.73,2.67,1,42,0
7.56,2.64,0,57,0
7.61,2.53,3,32,0
7.72,2.76,1,41,0
7.66,2.5,3,39,0
7.67,2.92,1,41,0
7.75,2.93,1,45,0
7.94,1.87,3,35,0
7.63,2.55,3,35,1
7.92,2.65,3,37,0
7.61,2.67,2,36,0
7.58,2.77,2,33,0
7.86,1.96,2,32,0
7.44,2.13,2,33,0
7.6,2.88,3,49,0
7.8,2.58,3,34,0
7.82,3.43,1,40,0
7.54,2.56,2,34,0
7.68,2.36,2,35,0
8,2.71,6,33,0
7.57,2.14,1,37,0
7.64,2.29,2,42,0
7.58,2.43,1,41,0
7.68,2.51,1,43,0
